timestamp,update,policy_loss,value_loss,entropy,kl_div,returns_mean,advantages_mean,batch_size,epochs_completed,entropy_coef,exploration_boosted,best_return,updates_since_improvement
2025-11-16T00:32:27.396638,1,0.0030154262203723192,0.9927092790603638,1.385079026222229,0.003317782189697027,-25.787120819091797,-7.243619926100564e-09,1152,1,0.02,False,-25.787120819091797,0
2025-11-16T00:32:28.434073,2,-0.004561274312436581,1.371071219444275,1.3849942684173584,0.0013884418876841664,-25.191007614135742,-2.5142323778482023e-08,1100,1,0.02,False,-25.191007614135742,0
2025-11-16T00:32:29.724247,3,-0.007213341072201729,1.0909122228622437,1.384803295135498,0.004663074854761362,-25.78535270690918,-7.491550158000848e-10,1273,1,0.02,False,-25.191007614135742,1
2025-11-16T00:32:31.013130,4,-0.018080247566103935,1.2639814615249634,1.384529709815979,0.00015460787108168006,-25.142520904541016,9.762020525272419e-09,1270,1,0.02,False,-25.142520904541016,0
2025-11-16T00:32:32.303183,5,-0.020539237186312675,0.8514987230300903,1.384075403213501,0.0031359964050352573,-26.069076538085938,2.378610908237988e-08,1283,1,0.02,False,-25.142520904541016,1
2025-11-16T00:32:33.337115,6,-0.033378541469573975,0.9541395902633667,1.3833450078964233,0.0017223595641553402,-25.879682540893555,5.809419612035072e-09,1026,1,0.02,False,-25.142520904541016,2
2025-11-16T00:32:34.624373,7,-0.03966343030333519,0.7979518175125122,1.3826391696929932,0.008000482805073261,-26.44993019104004,-8.837433007613527e-09,1241,1,0.02,False,-25.142520904541016,3
2025-11-16T00:32:35.652926,8,-0.04395304247736931,0.9181559681892395,1.3815001249313354,0.00396383972838521,-25.450973510742188,1.8269622259481366e-08,1044,1,0.02,False,-25.142520904541016,4
2025-11-16T00:32:36.941733,9,-0.049335792660713196,0.8306110501289368,1.3802417516708374,0.009053239598870277,-26.20395278930664,1.3848489466283809e-08,1274,1,0.02,False,-25.142520904541016,5
2025-11-16T00:32:37.975454,10,-0.05840716511011124,0.8686166405677795,1.378733515739441,0.006564418785274029,-25.930980682373047,2.3316102826242968e-08,1043,1,0.02,False,-25.142520904541016,6
2025-11-16T00:32:39.261157,11,-0.06594310700893402,0.7157931327819824,1.376976728439331,0.010863098315894604,-26.166433334350586,8.569357667909117e-09,1252,1,0.02,False,-25.142520904541016,7
2025-11-16T00:32:40.550375,12,-0.02779141068458557,1.1820985078811646,1.3750172853469849,0.005550086032599211,-24.661741256713867,-3.9704307397414595e-08,1237,1,0.02,False,-24.661741256713867,0
2025-11-16T00:32:41.581817,13,-0.015388237312436104,1.4118729829788208,1.3728711605072021,0.0003819004341494292,-24.578819274902344,1.8322703354556324e-08,1067,1,0.02,False,-24.578819274902344,0
2025-11-16T00:32:42.613218,14,-0.023028502240777016,1.0554869174957275,1.3701928853988647,-0.0007742401794530451,-24.281164169311523,-3.3481967420812e-08,1061,1,0.02,False,-24.281164169311523,0
2025-11-16T00:32:43.644106,15,-0.03276846185326576,1.2656512260437012,1.3673710823059082,0.006497153080999851,-25.31253433227539,6.182064282711508e-08,1049,1,0.02,False,-24.281164169311523,1
2025-11-16T00:32:44.675657,16,-0.037497855722904205,1.8083252906799316,1.3644496202468872,0.004108701832592487,-23.751543045043945,2.4523053809843987e-08,1050,1,0.02,False,-23.751543045043945,0
2025-11-16T00:32:45.705867,17,-0.05026515573263168,1.0313177108764648,1.3611868619918823,0.004275822546333075,-25.158676147460938,4.7095028321564314e-08,1053,1,0.02,False,-23.751543045043945,1
2025-11-16T00:32:46.736489,18,-0.05325240641832352,1.6257002353668213,1.3573389053344727,0.0015590274706482887,-23.600526809692383,2.1153589102596015e-08,1082,1,0.02,False,-23.600526809692383,0
2025-11-16T00:32:47.766013,19,-0.0632285624742508,1.8864107131958008,1.3534139394760132,0.002653198316693306,-23.280689239501953,1.8752023933643613e-08,1068,1,0.02,False,-23.280689239501953,0
2025-11-16T00:32:48.801192,20,-0.07392515242099762,1.338330864906311,1.3488177061080933,0.002680931705981493,-24.42989158630371,-1.9571674059193356e-08,1072,1,0.02,False,-23.280689239501953,1
2025-11-16T00:32:49.884552,21,-0.0785590261220932,1.4194550514221191,1.3434022665023804,0.009616782888770103,-24.173242568969727,3.757179811714195e-08,1028,1,0.02,False,-23.280689239501953,2
2025-11-16T00:32:50.919666,22,-0.009540243074297905,1.2146154642105103,1.338732361793518,0.00014210017980076373,-23.33598518371582,5.630230059949781e-09,1101,1,0.02,False,-23.33598518371582,0
2025-11-16T00:32:51.955023,23,-0.017518194392323494,2.0060386657714844,1.3335785865783691,0.0004945008549839258,-21.488603591918945,2.996517523001785e-08,1098,1,0.02,False,-21.488603591918945,0
2025-11-16T00:32:52.986232,24,-0.02703133039176464,1.7194087505340576,1.3276941776275635,0.0018953426042571664,-22.760269165039062,-2.2788430698028606e-08,1109,1,0.02,False,-21.488603591918945,1
2025-11-16T00:32:54.018015,25,-0.03793277218937874,1.4064348936080933,1.3205937147140503,0.004528366029262543,-23.102811813354492,6.891955450782916e-09,1107,1,0.02,False,-21.488603591918945,2
2025-11-16T00:32:55.051160,26,-0.04270953685045242,2.193629503250122,1.3129754066467285,0.0032690942753106356,-20.792715072631836,8.55313264658264e-10,1115,1,0.02,False,-20.792715072631836,0
2025-11-16T00:32:56.083393,27,-0.05056128278374672,1.9342041015625,1.3041185140609741,0.00912968534976244,-21.5573673248291,-4.733943015367004e-08,1108,1,0.02,False,-20.792715072631836,1
2025-11-16T00:32:57.115831,28,-0.06023101136088371,1.8039870262145996,1.2953569889068604,0.020806333050131798,-22.19234848022461,-8.846700594311585e-10,1078,1,0.02,False,-20.792715072631836,2
2025-11-16T00:32:58.150131,29,-0.06596636772155762,1.5515596866607666,1.2868939638137817,0.022666336968541145,-22.462751388549805,-1.8589300765370353e-08,1103,1,0.02,False,-20.792715072631836,3
